"","X.","Player","Club","Po","GP","YC","YCG","RC","RCG","SC","C1H","C2H","F","OF","season"
"66","16th","Vlastimil Stožický","","M",20,4,"0,2",1,"0,1",288,2,3,0,0,2011
"67","17th","Lukáš Kubáň","","D",25,7,"0,3",1,"0,0",422,1,7,0,0,2011
"68","18th","Marcel Gecov","","M",25,6,"0,2",1,"0,0",677,2,5,0,0,2011
"69","19th","Vít Beneš","FKJ","D",16,2,"0,1",1,"0,1",630,0,3,0,0,2011
"70","20th","Zdeněk Ondrášek","CEB","F",29,7,"0,2",1,"0,0",445,2,6,0,0,2011
"71","21st","Tomáš Stráský","","F",21,3,"0,1",1,"0,0",798,1,3,0,0,2011
"72","22nd","David Bartek","BOH","D",20,2,"0,1",1,"0,1",677,2,1,0,0,2011
"73","23rd","Zdeněk Šmejkal","","D",18,2,"0,1",1,"0,1",621,1,2,0,0,2011
"74","24th","Jakub Štochl","","D",28,2,"0,1",1,"0,0",1121,1,2,0,0,2011
"75","25th","Renáto Kelić","","D",21,2,"0,1",1,"0,0",904,1,2,0,0,2011
"76","26th","Aziz Ibragimov","","M",15,4,"0,3",1,"0,1",270,2,3,0,0,2011
"77","27th","Tomáš Košút","SLO","D",23,7,"0,3",1,"0,0",436,4,4,0,0,2011
"78","28th","Filip Hlúpik","SLO","M",16,2,"0,1",1,"0,1",346,1,2,0,0,2011
"79","29th","Rostislav Šamánek","","F",9,0,"0,0",1,"0,1",174,0,1,0,0,2011
"80","30th","Petr Reinberk","SLO","D",17,2,"0,1",1,"0,1",664,0,3,0,0,2011
"81","31st","Lukáš Dvořák","","-",13,3,"0,2",1,"0,1",432,2,2,0,0,2011
"82","32nd","Daniel Přerovský","BRN","M",8,3,"0,4",1,"0,1",231,1,3,0,0,2011
"83","33rd","Claude Roland Videgla","","M",18,5,"0,3",1,"0,1",252,1,5,0,0,2011
"84","34th","Grigori Čirkin","","M",11,4,"0,4",1,"0,1",344,1,4,0,0,2011
"85","35th","Stanislav Vlček","","F",17,1,"0,1",0,"0,0",675,1,0,0,0,2011
"86","36th","Tomáš Řepka","","D",22,5,"0,2",0,"0,0",604,2,2,0,0,2011
"87","37th","Miroslav Holeňák","","D",22,4,"0,2",0,"0,0",765,2,2,0,0,2011
"88","38th","Libor Sionko","","M",26,4,"0,2",0,"0,0",785,3,1,0,0,2011
"89","39th","Jiří Štajner","","F",29,6,"0,2",0,"0,0",644,1,5,0,0,2011
"90","40th","Lukáš Jarolím","","M",25,3,"0,1",0,"0,0",775,2,1,0,0,2011
"91","41st","Erich Brabec","","D",30,2,"0,1",0,"0,0",1465,1,1,0,0,2011
"92","42nd","Radim Kučera","","D",17,1,"0,1",0,"0,0",1368,0,1,0,0,2011
"93","43rd","Pavel Drsek","","D",19,2,"0,1",0,"0,0",350,1,1,0,0,2011
"94","44th","Benjamin Vomáčka","","D",8,2,"0,3",0,"0,0",332,0,2,0,0,2011
"95","45th","Josef Dvorník","","D",2,0,"0,0",0,"0,0",180,0,0,0,0,2011
"96","46th","Martin Lukeš","","M",23,5,"0,2",0,"0,0",573,1,4,0,0,2011
"97","47th","Rudolf Otepka","","M",29,5,"0,2",0,"0,0",955,1,4,0,0,2011
"98","48th","René Bolf","","D",24,3,"0,1",0,"0,0",847,1,2,0,0,2011
